EventId,EventTemplate,Occurrences
2d5de451,[instance 45508f66-530a-4ee4-ab8b-ea6677246cb5] Total <*> <*> <*> used 0.00 <*>,2
ed60d95f,[instance 45508f66-530a-4ee4-ab8b-ea6677246cb5] Took <*> seconds to <*>,4
87aa507c,[instance 969dbe7f-36a6-422b-988b-31f9e0ccd93d] <*>,8
d1c79438,[instance 969dbe7f-36a6-422b-988b-31f9e0ccd93d] Total <*> <*> <*> used 0.00 <*>,2
58ccad5a,[instance 969dbe7f-36a6-422b-988b-31f9e0ccd93d] Took <*> seconds to <*>,4
7afcbef5,[instance cdd59e0a-ebc8-42d0-a603-98f17f713ed7] <*>,8
55ba4652,[instance cdd59e0a-ebc8-42d0-a603-98f17f713ed7] Total <*> <*> <*> used 0.00 <*>,2
e2dd58c2,[instance cdd59e0a-ebc8-42d0-a603-98f17f713ed7] Took <*> seconds to <*>,4
44ee0c95,[instance f6a24803-281d-49f6-8c29-c14e71fd0650] <*>,8
68ec9490,[instance f6a24803-281d-49f6-8c29-c14e71fd0650] Total <*> <*> <*> used 0.00 <*>,2
54f5434c,[instance f6a24803-281d-49f6-8c29-c14e71fd0650] Took <*> seconds to <*>,4
000b17ad,[instance 636b44eb-4c54-4438-90a6-68a156f33b6d] <*>,8
e9f90319,[instance 636b44eb-4c54-4438-90a6-68a156f33b6d] Total <*> <*> <*> used 0.00 <*>,2
1113f57c,[instance 636b44eb-4c54-4438-90a6-68a156f33b6d] Took <*> seconds to <*>,4
2a4df83d,[instance 4ed2be21-dd2b-4d7f-aaab-6461150f9907] <*>,8
c92f509f,[instance 4ed2be21-dd2b-4d7f-aaab-6461150f9907] Total <*> <*> <*> used 0.00 <*>,2
13288b0f,[instance 4ed2be21-dd2b-4d7f-aaab-6461150f9907] Took <*> seconds to <*>,4
41496b0f,[instance fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] <*>,8
ad85eaf2,[instance fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] Total <*> <*> <*> used 0.00 <*>,2
eb070be5,[instance fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] Took <*> seconds to <*>,4
44480e7f,[instance 2d33540d-2191-4695-9d6a-aa745ef9a1a9] <*>,8
7d4ed9de,[instance 2d33540d-2191-4695-9d6a-aa745ef9a1a9] Total <*> <*> <*> used 0.00 <*>,2
203d4b02,[instance 2d33540d-2191-4695-9d6a-aa745ef9a1a9] Took <*> seconds to <*>,4
b3ad1a6a,[instance 4d59535f-5fef-48ed-a2fe-557fea4e22b0] <*>,8
23739ed5,[instance 4d59535f-5fef-48ed-a2fe-557fea4e22b0] Total <*> <*> <*> used 0.00 <*>,2
eb4aa6aa,[instance 4d59535f-5fef-48ed-a2fe-557fea4e22b0] Took <*> seconds to <*>,4
c6a9ae86,[instance df20656c-8ea7-4f5c-949d-23e71f5f06bd] <*>,8
5549a58b,[instance df20656c-8ea7-4f5c-949d-23e71f5f06bd] Total <*> <*> <*> used 0.00 <*>,2
a0586d78,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-15 <*> 00 00 to 2017-05-15 <*> 00 00. <*> instances.,2
e28d61b0,[instance df20656c-8ea7-4f5c-949d-23e71f5f06bd] Took <*> seconds to <*>,4
d50c9757,[instance 56bbbaa6-d1d1-4243-bca0-be9371daceed] <*>,8
f3676f4b,[instance 56bbbaa6-d1d1-4243-bca0-be9371daceed] Total <*> <*> <*> used 0.00 <*>,2
937070ca,[instance 56bbbaa6-d1d1-4243-bca0-be9371daceed] Took <*> seconds to <*>,4
8e5a6de9,[instance b043f927-338a-4816-bfe2-84ba3d56ecc3] <*>,8
45c9de4e,[instance b043f927-338a-4816-bfe2-84ba3d56ecc3] Total <*> <*> <*> used 0.00 <*>,2
55faed8a,[instance b043f927-338a-4816-bfe2-84ba3d56ecc3] Took <*> seconds to <*>,4
257c36d2,[instance e1ca809f-1e8e-41d6-a515-a153b9773d3e] <*>,8
1d8945ce,[instance e1ca809f-1e8e-41d6-a515-a153b9773d3e] Total <*> <*> <*> used 0.00 <*>,2
0dce6f5d,[instance e1ca809f-1e8e-41d6-a515-a153b9773d3e] Took <*> seconds to <*>,4
dcbb42da,[instance 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] <*>,8
b585c90a,[instance 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] Total <*> <*> <*> used 0.00 <*>,2
9cce148f,[instance 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] Took <*> seconds to <*>,4
7bbbf832,[instance d17dcb59-d2df-443d-9acf-bea2de2e96cf] <*>,8
b5b9e3fe,[instance d17dcb59-d2df-443d-9acf-bea2de2e96cf] Total <*> <*> <*> used 0.00 <*>,2
c4242954,[instance d17dcb59-d2df-443d-9acf-bea2de2e96cf] Took <*> seconds to <*>,4
0f2a5438,[instance 1b403aac-3d6e-49de-aacf-4548fb97f58d] <*>,8
9a482dba,[instance 1b403aac-3d6e-49de-aacf-4548fb97f58d] Total <*> <*> <*> used 0.00 <*>,2
dafb6e17,[instance 1b403aac-3d6e-49de-aacf-4548fb97f58d] Took <*> seconds to <*>,4
ea490fd2,[instance 1d53a142-ce58-4cb2-be87-8d46966e5f99] <*>,8
77260ddd,[instance 1d53a142-ce58-4cb2-be87-8d46966e5f99] Total <*> <*> <*> used 0.00 <*>,2
c7956f49,[instance 1d53a142-ce58-4cb2-be87-8d46966e5f99] Took <*> seconds to <*>,4
00e021c5,[instance 1aae3f11-e850-4550-9e8e-740db282d538] <*>,8
6244778f,[instance 1aae3f11-e850-4550-9e8e-740db282d538] Total <*> <*> <*> used 0.00 <*>,2
ad99b942,[instance 1aae3f11-e850-4550-9e8e-740db282d538] Took <*> seconds to <*>,4
96c06d80,[instance 45d54c78-36c7-4a4b-b402-3daa54d446b1] <*>,8
6c513d95,[instance 45d54c78-36c7-4a4b-b402-3daa54d446b1] Total <*> <*> <*> used 0.00 <*>,2
f2831178,[instance 45d54c78-36c7-4a4b-b402-3daa54d446b1] Took <*> seconds to <*>,4
9dd94900,[instance fc1e0afa-e01f-4892-85f5-83742a69a416] <*>,8
f6b10b05,[instance fc1e0afa-e01f-4892-85f5-83742a69a416] Total <*> <*> <*> used 0.00 <*>,2
bdd7beb0,[instance fc1e0afa-e01f-4892-85f5-83742a69a416] Took <*> seconds to <*>,4
6d4ddc05,[instance aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] <*>,8
6c727f11,[instance aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] Total <*> <*> <*> used 0.00 <*>,2
0c28839b,[instance aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] Took <*> seconds to <*>,4
822102d1,[instance 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] <*>,8
5ffa3ba9,[instance 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] Total <*> <*> <*> used 0.00 <*>,2
0adfb253,[instance 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] Took <*> seconds to <*>,4
8c47c985,[instance f96a82ca-483e-437a-adfd-8f9054497337] <*>,8
a3986c4a,[instance f96a82ca-483e-437a-adfd-8f9054497337] Total <*> <*> <*> used 0.00 <*>,2
2b2369f3,[instance f96a82ca-483e-437a-adfd-8f9054497337] Took <*> seconds to <*>,4
b321655f,[instance be0c740e-1556-479b-b78a-8e0e9e71ebd6] <*>,8
d61546a7,[instance be0c740e-1556-479b-b78a-8e0e9e71ebd6] Total <*> <*> <*> used 0.00 <*>,2
8a03b123,[instance be0c740e-1556-479b-b78a-8e0e9e71ebd6] Took <*> seconds to <*>,4
ba7bfba8,[instance 7953dc44-3e59-4a77-86a6-333ad03f4efa] <*>,8
8bee2e42,[instance 7953dc44-3e59-4a77-86a6-333ad03f4efa] Total <*> <*> <*> used 0.00 <*>,2
33ebdbd3,[instance 7953dc44-3e59-4a77-86a6-333ad03f4efa] Took <*> seconds to <*>,4
1637c7d0,[instance f6a102cb-e269-4fa8-860f-19a3d13d60f5] <*>,8
333d3d48,[instance f6a102cb-e269-4fa8-860f-19a3d13d60f5] Total <*> <*> <*> used 0.00 <*>,2
a1bd5df4,[instance f6a102cb-e269-4fa8-860f-19a3d13d60f5] Took <*> seconds to <*>,4
42bb703c,[instance 942d95b2-843b-4199-9d3d-a68dfeba5780] <*>,8
184708a5,[instance 942d95b2-843b-4199-9d3d-a68dfeba5780] Total <*> <*> <*> used 0.00 <*>,2
a51e3e07,[instance 942d95b2-843b-4199-9d3d-a68dfeba5780] Took <*> seconds to <*>,4
e5d937dc,[instance 39a1204b-e3ea-4544-bffe-c61289a5d039] <*>,8
cf484996,[instance 39a1204b-e3ea-4544-bffe-c61289a5d039] Total <*> <*> <*> used 0.00 <*>,2
7a883783,[instance 39a1204b-e3ea-4544-bffe-c61289a5d039] Took <*> seconds to <*>,4
cc7e7c91,[instance c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] <*>,8
ce19fbcb,[instance c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] Total <*> <*> <*> used 0.00 <*>,2
84888e0d,[instance c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] Took <*> seconds to <*>,4
f1ae57e2,[instance 165779d5-2169-453e-a112-7ea28fd4ad07] <*>,8
c98ab44c,[instance 165779d5-2169-453e-a112-7ea28fd4ad07] Total <*> <*> <*> used 0.00 <*>,2
7746c904,[instance 165779d5-2169-453e-a112-7ea28fd4ad07] Took <*> seconds to <*>,4
5b668372,[instance bbac58ce-003a-4a2b-9558-bc1b9d791fd9] <*>,8
7c5b79a4,[instance bbac58ce-003a-4a2b-9558-bc1b9d791fd9] Total <*> <*> <*> used 0.00 <*>,2
eeba8914,[instance bbac58ce-003a-4a2b-9558-bc1b9d791fd9] Took <*> seconds to <*>,4
78c358f8,[instance f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] <*>,8
cae6f938,[instance f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] Total <*> <*> <*> used 0.00 <*>,2
c0697344,[instance f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] Took <*> seconds to <*>,4
12e44706,[instance 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] <*>,8
4d36ed93,[instance 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] Total <*> <*> <*> used 0.00 <*>,2
7e95a29e,[instance 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] Took <*> seconds to <*>,4
91006d50,[instance edf32284-d52c-4326-a2d6-47d829ed6aea] <*>,8
c739ab8c,[instance edf32284-d52c-4326-a2d6-47d829ed6aea] Total <*> <*> <*> used 0.00 <*>,2
14d00845,[instance edf32284-d52c-4326-a2d6-47d829ed6aea] Took <*> seconds to <*>,4
12770ad4,[instance 62e51fb2-fadc-4d93-8d22-ac63e63fda25] <*>,8
4dcd9f73,[instance 62e51fb2-fadc-4d93-8d22-ac63e63fda25] Total <*> <*> <*> used 0.00 <*>,2
7ea3cd9d,[instance 62e51fb2-fadc-4d93-8d22-ac63e63fda25] Took <*> seconds to <*>,4
5d9aec64,[instance 74f52824-28d7-4056-8dd4-a102870729ff] <*>,8
1825ccd1,[instance 74f52824-28d7-4056-8dd4-a102870729ff] Total <*> <*> <*> used 0.00 <*>,2
cf4c1b67,[instance 74f52824-28d7-4056-8dd4-a102870729ff] Took <*> seconds to <*>,4
6343f2a6,[instance 4a903015-9dfa-43a8-bcc0-50e78262364c] <*>,8
ab4c570b,[instance 4a903015-9dfa-43a8-bcc0-50e78262364c] Total <*> <*> <*> used 0.00 <*>,2
16e36473,[instance 4a903015-9dfa-43a8-bcc0-50e78262364c] Took <*> seconds to <*>,4
b8949d1e,[instance 823a5c5c-7b22-4377-a7a1-d775040907c4] <*>,8
6d0a7e5b,[instance 823a5c5c-7b22-4377-a7a1-d775040907c4] Total <*> <*> <*> used 0.00 <*>,2
03b8802f,[instance 823a5c5c-7b22-4377-a7a1-d775040907c4] Took <*> seconds to <*>,4
be07ee2e,[instance 13303fd6-9be4-4084-9a14-60b9070a1071] <*>,8
0ea1f3b6,[instance 13303fd6-9be4-4084-9a14-60b9070a1071] Total <*> <*> <*> used 0.00 <*>,2
c98c9666,[instance 13303fd6-9be4-4084-9a14-60b9070a1071] Took <*> seconds to <*>,4
4e0cd270,[instance 1fd3cab1-862e-4bc6-8bde-da536983052f] <*>,8
d4420ddc,[instance 1fd3cab1-862e-4bc6-8bde-da536983052f] Total <*> <*> <*> used 0.00 <*>,2
d27b6675,[instance 1fd3cab1-862e-4bc6-8bde-da536983052f] Took <*> seconds to <*>,4
9b88fd87,[instance 678813da-f02c-4aea-9dab-e5687563007b] <*>,8
2f63d85c,[instance 678813da-f02c-4aea-9dab-e5687563007b] Total <*> <*> <*> used 0.00 <*>,2
ba971cd8,[instance 678813da-f02c-4aea-9dab-e5687563007b] Took <*> seconds to <*>,4
e1d42396,[instance 99583a33-38df-4206-8b7c-11fef4c01623] <*>,8
a24993b0,[instance 99583a33-38df-4206-8b7c-11fef4c01623] Total <*> <*> <*> used 0.00 <*>,2
49644fa1,[instance 99583a33-38df-4206-8b7c-11fef4c01623] Took <*> seconds to <*>,4
aad74fcf,[instance a6899336-f8ec-44d6-991d-3a825df41e52] <*>,8
d5123c7a,[instance a6899336-f8ec-44d6-991d-3a825df41e52] Total <*> <*> <*> used 0.00 <*>,2
08917ea8,[instance a6899336-f8ec-44d6-991d-3a825df41e52] Took <*> seconds to <*>,4
02a6b632,[instance e5850bd7-ebd5-40b5-b2da-abf6efd934e6] <*>,8
4ce3d66e,[instance e5850bd7-ebd5-40b5-b2da-abf6efd934e6] Total <*> <*> <*> used 0.00 <*>,2
dcfc4dcf,[instance e5850bd7-ebd5-40b5-b2da-abf6efd934e6] Took <*> seconds to <*>,4
a5fe5685,[instance e83f52e6-747c-4d27-b8f1-c62c8e6eff02] <*>,8
0c0ab1d7,[instance e83f52e6-747c-4d27-b8f1-c62c8e6eff02] Total <*> <*> <*> used 0.00 <*>,2
e78f3b56,[instance e83f52e6-747c-4d27-b8f1-c62c8e6eff02] Took <*> seconds to <*>,4
e190ce04,[instance 6db3c764-0670-4e69-9e2d-3c61d2ef9151] <*>,8
e2f36b35,[instance 6db3c764-0670-4e69-9e2d-3c61d2ef9151] Total <*> <*> <*> used 0.00 <*>,2
5b261de3,[instance 6db3c764-0670-4e69-9e2d-3c61d2ef9151] Took <*> seconds to <*>,4
126810b1,[instance 579478d1-23e1-4c6e-899a-f789a2c1e59b] <*>,8
d98d7644,[instance 579478d1-23e1-4c6e-899a-f789a2c1e59b] Total <*> <*> <*> used 0.00 <*>,2
6e64ae7f,[instance 579478d1-23e1-4c6e-899a-f789a2c1e59b] Took <*> seconds to <*>,4
0fdb835c,[instance 4ee2ad9d-ff1a-4e58-a053-9db8efcec0cd] <*>,8
da86bce5,[instance 4ee2ad9d-ff1a-4e58-a053-9db8efcec0cd] Total <*> <*> <*> used 0.00 <*>,2
c6a33160,[instance 4ee2ad9d-ff1a-4e58-a053-9db8efcec0cd] Took <*> seconds to <*>,4
9d26b9a4,[instance 2ba39df0-2723-4431-a4c9-b3335298f0be] <*>,8
6bf8abef,[instance 2ba39df0-2723-4431-a4c9-b3335298f0be] Total <*> <*> <*> used 0.00 <*>,2
456e83c2,[instance 2ba39df0-2723-4431-a4c9-b3335298f0be] Took <*> seconds to <*>,4
cd35b472,[instance b0140120-7447-4252-8015-4e14b22f6e8b] <*>,8
3ba38195,[instance b0140120-7447-4252-8015-4e14b22f6e8b] Total <*> <*> <*> used 0.00 <*>,2
a9e743e1,[instance b0140120-7447-4252-8015-4e14b22f6e8b] Took <*> seconds to <*>,4
949f2dbf,[instance 381cc41a-c18d-4604-be10-4721a978d62d] <*>,8
49021dd3,[instance 381cc41a-c18d-4604-be10-4721a978d62d] Total <*> <*> <*> used 0.00 <*>,2
3758833b,[instance 381cc41a-c18d-4604-be10-4721a978d62d] Took <*> seconds to <*>,4
bd8e3f8a,[instance 983f91b3-13d5-48ca-bca9-6dd146e98de7] <*>,8
a47bb698,[instance 983f91b3-13d5-48ca-bca9-6dd146e98de7] Total <*> <*> <*> used 0.00 <*>,2
1e57df99,[instance 983f91b3-13d5-48ca-bca9-6dd146e98de7] Took <*> seconds to <*>,4
7ff2bfd7,[instance 293a8abc-b6b2-4c7d-97d4-65ffe15167fe] <*>,8
d2d181ed,[instance 293a8abc-b6b2-4c7d-97d4-65ffe15167fe] Total <*> <*> <*> used 0.00 <*>,2
0aab7653,[instance 293a8abc-b6b2-4c7d-97d4-65ffe15167fe] Took <*> seconds to <*>,4
4ce9b35f,[instance d6a258a5-9c6a-48cc-b4d7-d40be6738049] <*>,8
4396bfc8,[instance d6a258a5-9c6a-48cc-b4d7-d40be6738049] Total <*> <*> <*> used 0.00 <*>,2
42cdaf67,[instance d6a258a5-9c6a-48cc-b4d7-d40be6738049] Took <*> seconds to <*>,4
7f146908,[instance 0b058ca8-a3b0-444c-bb6e-c8eb1b7a71b7] <*>,8
da9ad15e,[instance 0b058ca8-a3b0-444c-bb6e-c8eb1b7a71b7] Total <*> <*> <*> used 0.00 <*>,2
f5244336,[instance 0b058ca8-a3b0-444c-bb6e-c8eb1b7a71b7] Took <*> seconds to <*>,4
37c8c77b,[instance 43604db1-75f1-45f7-82d1-b93a9be4538a] <*>,8
67cdfcb4,[instance 43604db1-75f1-45f7-82d1-b93a9be4538a] Total <*> <*> <*> used 0.00 <*>,2
b0c6bf4a,[instance 43604db1-75f1-45f7-82d1-b93a9be4538a] Took <*> seconds to <*>,4
bfd4e5a0,[instance a6c5e900-d575-4447-a815-3e156c84aa90] <*>,8
ab1ae09c,[instance a6c5e900-d575-4447-a815-3e156c84aa90] Total <*> <*> <*> used 0.00 <*>,2
0c410190,[instance a6c5e900-d575-4447-a815-3e156c84aa90] Took <*> seconds to <*>,4
c80ef1fd,[instance e9a1c8fd-34e6-4dc3-8a80-cec85ffdf62e] <*>,8
ab440dda,[instance e9a1c8fd-34e6-4dc3-8a80-cec85ffdf62e] Total <*> <*> <*> used 0.00 <*>,2
a43b0cd0,[instance e9a1c8fd-34e6-4dc3-8a80-cec85ffdf62e] Took <*> seconds to <*>,4
a2ef8188,[instance f3253bb8-9a74-431d-8b5c-317caec23c3a] <*>,8
70f67311,[instance f3253bb8-9a74-431d-8b5c-317caec23c3a] Total <*> <*> <*> used 0.00 <*>,2
46c822bc,[instance f3253bb8-9a74-431d-8b5c-317caec23c3a] Took <*> seconds to <*>,4
